1526396608766,2018.05.15 11:03:28.766,DEBUG,aiview_android,AppUtil.writeHeaderLog  (AppUtil.java:862),AiView app is currently running in daily dose mode
1526396608770,2018.05.15 11:03:28.770,DEBUG,aiview_android,AppUtil.writeHeaderLog  (AppUtil.java:885),Trial id :null
1526396608775,2018.05.15 11:03:28.775,DEBUG,aiview_android,AppUtil.writeHeaderLog  (AppUtil.java:889),Device ID (IMEI) : 358510081093110
1526396608777,2018.05.15 11:03:28.777,DEBUG,aiview_android,AppUtil.writeHeaderLog  (AppUtil.java:894),External patient id : 
1526396608778,2018.05.15 11:03:28.778,DEBUG,aiview_android,AppUtil.writeHeaderLog  (AppUtil.java:895),OS version : 26
1526396608781,2018.05.15 11:03:28.781,DEBUG,aiview_android,AppUtil.writeHeaderLog  (AppUtil.java:905),Total available memory for this phone is : 3055.0mb  Percentage : 58.48126911029209%
1526396608783,2018.05.15 11:03:28.783,DEBUG,aiview_android,AppUtil.writeHeaderLog  (AppUtil.java:907), Device has access to internet.
1526396608785,2018.05.15 11:03:28.785,INFO,aiview_android,AppUtil.writeHeaderLog  (AppUtil.java:909),Device is connected to WIFI with fast connection.
1526396608787,2018.05.15 11:03:28.787,INFO,aiview_android,AiViewSwitch.hasPermissionsGranted  (AiViewSwitch.java:150),All permissions have been granted.
1526396608789,2018.05.15 11:03:28.789,INFO,aiview_android,AiViewSwitch.onStart  (AiViewSwitch.java:430),All required permissions have been granted.
1526396608817,2018.05.15 11:03:28.817,INFO,aiview_android,AiViewSwitch.StartAppWithoutCheckingVideos  (AiViewSwitch.java:303),Device is not registered, go to AiViewTutorial
1526396608864,2018.05.15 11:03:28.864,DEBUG,aiview_android,AppUtil$3.onFinished  (AppUtil.java:872),manufacturer : Samsung name :Galaxy Note8 model :SM-N950U1 codename : greatqlteue deviceName : Galaxy Note8
1526396609086,2018.05.15 11:03:29.086,DEBUG,aiview_android,AiViewTutorial.startOrResume  (AiViewTutorial.java:493),Current trainning step is -1.
1526396609119,2018.05.15 11:03:29.119,DEBUG,aiview_android,LocaleHelper.setLocale  (LocaleHelper.java:71),Setting app locale -- en
1526396609123,2018.05.15 11:03:29.123,INFO,aiview_android,AudioPlayer.stop  (AudioPlayer.java:20),Stopping audio player.
1526396619941,2018.05.15 11:03:39.941,INFO,aiview_android,LoginFragment.getURLTask  (LoginFragment.java:265),starting getURL task
1526396620669,2018.05.15 11:03:40.669,INFO,aiview_android,LoginFragment$4.onComplete  (LoginFragment.java:282),UNIQUE_URL_EXIST 
1526396620672,2018.05.15 11:03:40.672,INFO,aiview_android,LoginFragment.getTrialSetupInfo  (LoginFragment.java:214),starting getTrialSetupInfo task
