2018-05-23 15:51:14.878 | I | -[AppDelegate applicationWillEnterForeground:] | [line:227] | [MESSAGE] application will enter foreground
2018-05-23 15:51:14.879 | I | -[AppDelegate logMataData] | [line:164] | [MESSAGE] trial ID client100prod_1525443315
2018-05-23 15:51:14.879 | I | -[AppDelegate logMataData] | [line:165] | [MESSAGE] trial name 100prod
2018-05-23 15:51:14.879 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone10,3
2018-05-23 15:51:14.879 | I | -[AppDelegate logMataData] | [line:166] | [MESSAGE] Device Hardware iPhone X
2018-05-23 15:51:14.879 | I | -[AppDelegate logMataData] | [line:167] | [MESSAGE] OS Version 11.3
2018-05-23 15:51:14.879 | I | -[AppDelegate logMataData] | [line:168] | [MESSAGE] AiView build version 2018.3
2018-05-23 15:51:14.880 | I | -[AppDelegate logMataData] | [line:169] | [MESSAGE] device language en-US
2018-05-23 15:51:14.881 | I | -[AppDelegate logMataData] | [line:170] | [MESSAGE] device UUID B3F161E3-860A-47E8-B232-4C4EB96B7D7C
2018-05-23 15:51:14.881 | I | -[AppDelegate logMataData] | [line:173] | [MESSAGE] Patient ID (null)
2018-05-23 15:51:14.882 | I | +[AIUtil hasInternetConnection] | [line:683] | [MESSAGE] has internet connnection = 1
2018-05-23 15:51:15.434 | D | -[AiViewSwitch startApp] | [line:156] | [MESSAGE] StartApp in AiViewSwitch
2018-05-23 15:51:15.441 | I | +[AIUtil checkPermission] | [line:1132] | [MESSAGE] camera access / mic access Authorized
2018-05-23 15:51:15.483 | I | -[LoginVC viewDidLoad] | [line:72] | [MESSAGE] LoginVC view did load
2018-05-23 15:51:15.483 | I | +[AIUtil checkWifiConnection] | [line:710] | [MESSAGE] check wifi connection = CONNECT_3G
2018-05-23 15:51:19.939 | I | -[AppDelegate applicationWillResignActive:] | [line:201] | [MESSAGE] application Will Resign Active
2018-05-23 15:51:19.971 | I | -[AppDelegate cleanAlertDialog] | [line:369] | [MESSAGE] clean Alert Dialog
2018-05-23 15:51:21.146 | I | -[AppDelegate applicationWillEnterForeground:] | [line:227] | [MESSAGE] application will enter foreground
2018-05-23 15:51:21.146 | I | -[AppDelegate logMataData] | [line:164] | [MESSAGE] trial ID client100prod_1525443315
2018-05-23 15:51:21.147 | I | -[AppDelegate logMataData] | [line:165] | [MESSAGE] trial name 100prod
2018-05-23 15:51:21.147 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone10,3
2018-05-23 15:51:21.147 | I | -[AppDelegate logMataData] | [line:166] | [MESSAGE] Device Hardware iPhone X
2018-05-23 15:51:21.147 | I | -[AppDelegate logMataData] | [line:167] | [MESSAGE] OS Version 11.3
2018-05-23 15:51:21.147 | I | -[AppDelegate logMataData] | [line:168] | [MESSAGE] AiView build version 2018.3
2018-05-23 15:51:21.147 | I | -[AppDelegate logMataData] | [line:169] | [MESSAGE] device language en-US
2018-05-23 15:51:21.148 | I | -[AppDelegate logMataData] | [line:170] | [MESSAGE] device UUID B3F161E3-860A-47E8-B232-4C4EB96B7D7C
2018-05-23 15:51:21.149 | I | -[AppDelegate logMataData] | [line:173] | [MESSAGE] Patient ID (null)
