2018-06-01 08:58:18.939 | I | -[AppDelegate application:didFinishLaunchingWithOptions:] | [line:186] | [MESSAGE] application Did Finish Launching
2018-06-01 08:58:18.967 | I | -[AppDelegate logMataData] | [line:164] | [MESSAGE] trial ID client100prod_1525443315
2018-06-01 08:58:18.968 | I | -[AppDelegate logMataData] | [line:165] | [MESSAGE] trial name pro
2018-06-01 08:58:18.970 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone10,6
2018-06-01 08:58:18.970 | I | -[AppDelegate logMataData] | [line:166] | [MESSAGE] Device Hardware iPhone X
2018-06-01 08:58:18.970 | I | -[AppDelegate logMataData] | [line:167] | [MESSAGE] OS Version 11.3.1
2018-06-01 08:58:18.970 | I | -[AppDelegate logMataData] | [line:168] | [MESSAGE] AiView build version 2018.3
2018-06-01 08:58:18.970 | I | -[AppDelegate logMataData] | [line:169] | [MESSAGE] device language en-US
2018-06-01 08:58:18.971 | I | -[AppDelegate logMataData] | [line:170] | [MESSAGE] device UUID 43CBF65F-4631-46A0-BD52-C9BC78449D01
2018-06-01 08:58:18.973 | I | -[AppDelegate logMataData] | [line:173] | [MESSAGE] Patient ID (null)
2018-06-01 08:58:18.975 | I | +[AIUtil hasInternetConnection] | [line:683] | [MESSAGE] has internet connnection = 1
2018-06-01 08:58:19.037 | I | -[AppDelegate application:didRegisterForRemoteNotificationsWithDeviceToken:] | [line:437] | [MESSAGE] Succeded to get APNS token data: <db7f2d95 46ca272a c20c057d 92e36e73 7d16cae5 b2e76298 664bd3ad 945aa4c5>
2018-06-01 08:58:19.037 | I | -[AppDelegate application:didRegisterForRemoteNotificationsWithDeviceToken:] | [line:443] | [MESSAGE] deviceToken:  db7f2d9546ca272ac20c057d92e36e737d16cae5b2e76298664bd3ad945aa4c5
2018-06-01 08:58:19.536 | D | -[AiViewSwitch startApp] | [line:156] | [MESSAGE] StartApp in AiViewSwitch
2018-06-01 08:58:19.558 | I | +[AIUtil checkPermission] | [line:1132] | [MESSAGE] camera access / mic access Authorized
2018-06-01 08:58:19.670 | I | -[DigitalClockVC viewDidLoad] | [line:138] | [MESSAGE] DigitalClockVC view did load
2018-06-01 08:58:19.709 | I | -[Transmission sendAll] | [line:80] | [MESSAGE] Transmission send all
2018-06-01 08:58:19.712 | I | -[Transmission sendAll] | [line:115] | [MESSAGE] Encrypting files
2018-06-01 08:58:19.740 | I | -[DigitalClockVC constructNextActionSchedulesAndQuestionnairesIfPossible] | [line:806] | [MESSAGE] constructNextActionSchedulesAndQuestionnairesIfPossible
