2018-05-21 15:21:02.734 | I | -[AINeuralNetworkConfigManager fileDownloadedWithUrl:succeeded:] | [line:254] | [MESSAGE] Neural network config download succeeded.
2018-05-21 15:21:04.025 | I | -[Transmission sendAll] | [line:80] | [MESSAGE] Transmission send all
2018-05-21 15:21:04.030 | I | -[Transmission sendAll] | [line:115] | [MESSAGE] Encrypting files
2018-05-21 15:21:04.711 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task File_upload failed
2018-05-21 15:21:04.715 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 1
2018-05-21 15:21:04.967 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task File_upload failed
2018-05-21 15:21:04.972 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 2
2018-05-21 15:21:05.089 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task Update_device_version failed
2018-05-21 15:21:05.095 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 3
2018-05-21 15:21:05.213 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task pk_clinic_visit_only failed
2018-05-21 15:21:05.217 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 4
2018-05-21 15:21:05.324 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task push_token_registration failed
2018-05-21 15:21:05.326 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 5
2018-05-21 15:21:05.435 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task kiosk_dose_check failed
2018-05-21 15:21:05.438 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 6
2018-05-21 15:21:05.557 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task questionnaire_sync failed
2018-05-21 15:21:05.561 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 7
2018-05-21 15:21:05.693 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task reimbursement_sync failed
2018-05-21 15:21:05.697 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 8
2018-05-21 15:21:05.700 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task pause_resume_report failed
2018-05-21 15:21:05.712 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 9
2018-05-21 15:21:05.833 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task side_effects_report failed
2018-05-21 15:21:05.839 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 10
2018-05-21 15:21:05.964 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task Dose_miss_time_report failed
