2018-05-21 15:22:35.536 | I | -[AINeuralNetworkConfigManager fileDownloadedWithUrl:succeeded:] | [line:254] | [MESSAGE] Neural network config download succeeded.
2018-05-21 15:22:35.543 | I | -[Transmission sendAll] | [line:80] | [MESSAGE] Transmission send all
2018-05-21 15:22:35.569 | I | -[Transmission sendAll] | [line:115] | [MESSAGE] Encrypting files
2018-05-21 15:22:35.807 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task File_upload failed
2018-05-21 15:22:35.821 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 1
2018-05-21 15:22:35.945 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task File_upload failed
2018-05-21 15:22:35.948 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 2
2018-05-21 15:22:36.046 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task Update_device_version failed
2018-05-21 15:22:36.053 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 3
2018-05-21 15:22:36.167 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task pk_clinic_visit_only failed
2018-05-21 15:22:36.175 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 4
2018-05-21 15:22:36.283 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task push_token_registration failed
2018-05-21 15:22:36.288 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 5
2018-05-21 15:22:36.407 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task kiosk_dose_check failed
2018-05-21 15:22:36.409 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 6
2018-05-21 15:22:36.512 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task questionnaire_sync failed
2018-05-21 15:22:36.523 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 7
2018-05-21 15:22:36.636 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task reimbursement_sync failed
2018-05-21 15:22:36.637 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 8
2018-05-21 15:22:36.638 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task pause_resume_report failed
2018-05-21 15:22:36.641 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 9
2018-05-21 15:22:36.749 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task side_effects_report failed
2018-05-21 15:22:36.751 | I | -[Transmission update:task_name:] | [line:246] | [MESSAGE] Task id done: 10
2018-05-21 15:22:36.852 | E | -[Transmission update:task_name:] | [line:239] | [MESSAGE] Task Dose_miss_time_report failed
