2018-05-20 00:04:26.098 | I | -[AppDelegate application:didFinishLaunchingWithOptions:] | [line:186] | [MESSAGE] application Did Finish Launching
2018-05-20 00:04:26.136 | I | -[AppDelegate logMataData] | [line:164] | [MESSAGE] trial ID 0prod1499883450
2018-05-20 00:04:26.137 | I | -[AppDelegate logMataData] | [line:165] | [MESSAGE] trial name pro
2018-05-20 00:04:26.138 | I | -[UIDeviceHardware platformString] | [line:30] | [MESSAGE] apple device internal version code iPhone7,1
2018-05-20 00:04:26.138 | I | -[AppDelegate logMataData] | [line:166] | [MESSAGE] Device Hardware iPhone 6 PLUS
2018-05-20 00:04:26.138 | I | -[AppDelegate logMataData] | [line:167] | [MESSAGE] OS Version 11.3.1
2018-05-20 00:04:26.138 | I | -[AppDelegate logMataData] | [line:168] | [MESSAGE] AiView build version 2018.3
2018-05-20 00:04:26.138 | I | -[AppDelegate logMataData] | [line:169] | [MESSAGE] device language zh-Hans-US
2018-05-20 00:04:26.141 | I | -[AppDelegate logMataData] | [line:170] | [MESSAGE] device UUID FF259990-6104-4966-B64B-F2ABFD5E60A5
2018-05-20 00:04:26.142 | I | -[AppDelegate logMataData] | [line:173] | [MESSAGE] Patient ID (null)
2018-05-20 00:04:26.146 | I | +[AIUtil hasInternetConnection] | [line:683] | [MESSAGE] has internet connnection = 1
2018-05-20 00:04:26.421 | I | -[AppDelegate application:didRegisterForRemoteNotificationsWithDeviceToken:] | [line:437] | [MESSAGE] Succeded to get APNS token data: <5c966fed 61f03cba 59dc7059 427135d9 8ebb668d 7e0f8425 91616cf8 e136f4b8>
2018-05-20 00:04:26.421 | I | -[AppDelegate application:didRegisterForRemoteNotificationsWithDeviceToken:] | [line:443] | [MESSAGE] deviceToken:  5c966fed61f03cba59dc7059427135d98ebb668d7e0f842591616cf8e136f4b8
2018-05-20 00:04:26.879 | D | -[AiViewSwitch startApp] | [line:156] | [MESSAGE] StartApp in AiViewSwitch
2018-05-20 00:04:26.943 | I | +[AIUtil checkPermission] | [line:1132] | [MESSAGE] camera access / mic access Authorized
2018-05-20 00:04:27.022 | I | -[ResumeViewController viewDidLoad] | [line:120] | [MESSAGE] ResumeViewController viewDidLoad
2018-05-20 00:04:27.023 | I | -[ResumeViewController showContinueActivationDialog] | [line:48] | [MESSAGE] ResumeViewController showContinueActivationDialog
2018-05-20 00:04:32.248 | I | -[ResumeViewController showConfirmIdentityDialog] | [line:77] | [MESSAGE] ResumeViewController showConfirmIdentityDialog
2018-05-20 00:04:51.737 | I | -[LoginAction loginWithUsername:password:onView:] | [line:61] | [MESSAGE] login with username password
2018-05-20 00:04:51.740 | I | -[LoginAction getURLTaskWithUsername:password:] | [line:94] | [MESSAGE] [self.urlGetter routingUrl] https://routing.aicure.com/backend/get_url_trial
2018-05-20 00:04:52.449 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name routing, result 5004
2018-05-20 00:04:52.450 | I | -[ResumeViewController handleError] | [line:183] | [MESSAGE] ResumeViewController handleError
2018-05-20 00:04:52.450 | I | +[AIUtil hasInternetConnection] | [line:683] | [MESSAGE] has internet connnection = 1
2018-05-20 00:04:54.281 | I | -[ResumeViewController showConfirmIdentityDialog] | [line:77] | [MESSAGE] ResumeViewController showConfirmIdentityDialog
2018-05-20 00:05:13.674 | I | -[LoginAction loginWithUsername:password:onView:] | [line:61] | [MESSAGE] login with username password
2018-05-20 00:05:13.675 | I | -[LoginAction getURLTaskWithUsername:password:] | [line:94] | [MESSAGE] [self.urlGetter routingUrl] https://routing.aicure.com/backend/get_url_trial
2018-05-20 00:05:13.806 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name routing, result 9999
2018-05-20 00:05:14.252 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name trial_setup, result 9999
2018-05-20 00:05:14.538 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name trial_setup_serialized, result 9999
2018-05-20 00:05:14.543 | I | -[LoginAction checkTrainingTask:password:] | [line:102] | [MESSAGE] [self.urlGetter getBackendURI:self.context] https://client0prod.aicure.com/backend/backend
2018-05-20 00:05:14.694 | I | -[LoginAction update:task_name:] | [line:131] | [MESSAGE] login transmission task_name training, result 9999
2018-05-20 00:05:14.705 | I | -[ResumeViewController handleTransmissionSuccessfully] | [line:158] | [MESSAGE] ResumeViewController handleTransmissionSuccessfully
2018-05-20 00:05:14.768 | I | -[TutorialDone viewDidLoad] | [line:41] | [MESSAGE] TutorialDone view did load
2018-05-20 00:05:16.222 | I | -[AiWebView viewDidLoad] | [line:91] | [MESSAGE] enter web view page
2018-05-20 00:05:16.338 | I | -[AiWebView syncProtocol] | [line:145] | [MESSAGE] web view page syncProtocol
2018-05-20 00:05:16.609 | I | -[TransmissionProtocol update:task_name:] | [line:64] | [MESSAGE] trial_setup 9999
2018-05-20 00:05:16.761 | I | -[TransmissionProtocol update:task_name:] | [line:64] | [MESSAGE] trial_setup_serialized 9999
2018-05-20 00:05:16.817 | I | -[AiWebView webView:shouldStartLoadWithRequest:navigationType:] | [line:155] | [MESSAGE] web view page button capatured https
2018-05-20 00:05:16.892 | I | -[TransmissionProtocol update:task_name:] | [line:64] | [MESSAGE] dose_protocol_sync 5005
2018-05-20 00:05:16.892 | I | -[AiWebView syncProtocol] | [line:145] | [MESSAGE] web view page syncProtocol
2018-05-20 00:05:17.113 | I | -[TransmissionProtocol update:task_name:] | [line:64] | [MESSAGE] trial_setup 9999
